product_id,product_name,category,price
1,Product_1,Toys,112.82
2,Product_2,Toys,146.66
3,Product_3,Toys,252.45
4,Product_4,Toys,363.2
5,Product_5,Books,223.35
6,Product_6,Clothing,211.2
7,Product_7,Books,316.71
8,Product_8,Clothing,149.96
9,Product_9,Toys,359.46
10,Product_10,Home,434.93
11,Product_11,Electronics,348.63
12,Product_12,Toys,231.9
13,Product_13,Clothing,114.32
14,Product_14,Books,227.37
15,Product_15,Toys,415.06
16,Product_16,Clothing,69.49
17,Product_17,Toys,76.29
18,Product_18,Toys,122.34
19,Product_19,Books,274.42
20,Product_20,Electronics,419.36
21,Product_21,Home,155.37
22,Product_22,Electronics,423.84
23,Product_23,Home,253.18
24,Product_24,Home,63.52
25,Product_25,Books,23.29
26,Product_26,Toys,112.69
27,Product_27,Electronics,111.99
28,Product_28,Books,136.57
29,Product_29,Electronics,248.87
30,Product_30,Books,20.82
31,Product_31,Home,32.94
32,Product_32,Home,451.99
33,Product_33,Home,279.72
34,Product_34,Toys,200.52
35,Product_35,Books,141.43
36,Product_36,Toys,88.37
37,Product_37,Electronics,246.69
38,Product_38,Electronics,42.44
39,Product_39,Clothing,103.85
40,Product_40,Toys,97.27
41,Product_41,Electronics,458.16
42,Product_42,Electronics,378.64
43,Product_43,Home,471.54
44,Product_44,Toys,366.85
45,Product_45,Electronics,489.29
46,Product_46,Clothing,134.81
47,Product_47,Home,315.47
48,Product_48,Home,431.18
49,Product_49,Electronics,60.19
50,Product_50,Clothing,387.16
51,Product_51,Books,349.44
52,Product_52,Toys,153.11
53,Product_53,Electronics,109.2
54,Product_54,Clothing,412.96
55,Product_55,Clothing,286.8
56,Product_56,Toys,462.62
57,Product_57,Electronics,331.48
58,Product_58,Electronics,319.68
59,Product_59,Toys,26.43
60,Product_60,Toys,456.72
61,Product_61,Clothing,155.96
62,Product_62,Books,306.92
63,Product_63,Clothing,324.45
64,Product_64,Toys,102.86
65,Product_65,Clothing,158.43
66,Product_66,Electronics,371.83
67,Product_67,Electronics,89.74
68,Product_68,Toys,325.36
69,Product_69,Home,460.48
70,Product_70,Books,410.26
71,Product_71,Clothing,211.46
72,Product_72,Toys,406.76
73,Product_73,Electronics,372.04
74,Product_74,Toys,491.63
75,Product_75,Books,95.31
76,Product_76,Books,411.21
77,Product_77,Home,340.55
78,Product_78,Books,239.15
79,Product_79,Toys,183.98
80,Product_80,Electronics,425.42
81,Product_81,Electronics,408.67
82,Product_82,Books,174.56
83,Product_83,Electronics,79.74
84,Product_84,Toys,200.52
85,Product_85,Home,333.75
86,Product_86,Books,463.89
87,Product_87,Home,313.05
88,Product_88,Clothing,61.75
89,Product_89,Clothing,93.26
90,Product_90,Books,224.19
91,Product_91,Home,62.29
92,Product_92,Toys,444.56
93,Product_93,Clothing,417.03
94,Product_94,Books,339.65
95,Product_95,Clothing,263.44
96,Product_96,Home,74.58
97,Product_97,Toys,189.08
98,Product_98,Electronics,366.14
99,Product_99,Books,42.8
100,Product_100,Home,372.12
